State (Emission order)	H3K27me3	H3K4me1	H3K4me3	H3K36me3	H3K9me3
1	1.4370642424125566E-4	0.005838923005296442	5.584507748494112E-4	0.13102634170481592	0.06251764312124468
2	7.037666556677096E-5	0.007378598505630404	2.4499521701674417E-4	0.0132821661933816	0.0019971971452851785
3	0.00447605043088596	0.8253330777805901	0.01611371943157485	0.023413176262901146	0.009575376783061067
4	0.00343621832753382	0.45835486416217447	0.9481621115342718	0.02085780459656913	0.006465590768062607
5	5.9290100625155806E-9	2.1911177134356576E-9	3.8670892297097884E-5	4.292692019265681E-12	5.329381719356857E-5
6	4.218295605377124E-9	1.288886156476808E-8	4.838975803767186E-5	4.961119196898983E-12	0.0021782043738601807
7	1.6802405832868874E-9	8.820795611315404E-7	6.10121960542439E-6	1.0008867942301395E-12	0.003348029388807368
8	1.4652072275036576E-9	0.0012256087134934308	3.921460391660076E-5	9.671554301417267E-14	0.010148264331723646
9	0.0014084570945762653	3.593846537552232E-7	2.0617235566913838E-5	8.010585025274185E-4	0.001100205643234141
10	0.016734171071893067	0.0029924564690185598	1.0212229154192246E-4	9.511635907996462E-5	0.0016060905830092523
