Aggregate confusion matrix: bernoulli vs Roadmap E116 (chr17, chr19, chr21, chr22)
Values = % of our state bins assigned to each Roadmap state

                1_TssA  2_TssAFl  3_TxFlnk      4_Tx    5_TxWk    6_EnhG     7_Enh  8_ZNF/Rp     9_Het  10_TssBi  11_BivFl  12_EnhBi  13_ReprP  14_ReprP  15_Quies
  State 1        0.6%      0.0%      0.0%      0.0%      7.3%      0.0%     11.6%      0.3%      2.3%      0.0%      0.0%      0.0%      1.1%     16.1%     60.7%
  State 2        0.0%      0.1%      0.0%      0.2%      2.4%      0.0%      0.3%      0.2%      4.7%      0.0%      0.0%      0.0%      0.2%     12.6%     79.3%
  State 3        0.1%      0.1%      0.1%      1.3%      2.1%      0.1%      0.2%     70.6%     25.3%      0.0%      0.0%      0.0%      0.0%      0.0%      0.2%
  State 4        0.6%     19.1%      2.6%      0.8%      5.4%     11.6%     53.8%      1.6%      0.4%      0.0%      0.4%      0.8%      0.1%      0.6%      2.2%
  State 5        2.1%      2.1%      0.5%      3.1%     48.3%      6.0%     26.3%      1.4%      1.8%      0.1%      0.1%      0.5%      0.2%      2.3%      5.1%
  State 6        0.1%      0.1%      0.0%      1.4%     15.1%      0.0%      1.0%      2.6%     18.6%      0.0%      0.0%      0.0%      0.2%      7.1%     53.8%
  State 7       42.2%     32.4%      8.5%      0.5%      3.4%      2.3%      6.3%      1.2%      0.2%      0.4%      0.6%      0.3%      0.2%      0.5%      1.0%
  State 8        0.2%      0.1%      0.0%      0.0%      3.3%      0.0%      1.8%      0.0%      2.4%      0.3%      0.2%      1.3%      8.0%     60.6%     21.8%
  State 9        0.0%      0.0%      0.0%      0.0%      8.3%      0.0%      0.0%      0.0%      8.3%      0.0%      0.0%      0.0%      0.0%     75.0%      8.3%
  State10        0.1%      0.1%      0.0%     30.5%     48.1%      0.8%      1.4%      1.3%      1.0%      0.0%      0.0%      0.0%      0.1%      2.2%     14.4%
