Aggregate confusion matrix: nb vs Roadmap E116 (chr17, chr19, chr21, chr22)
Values = % of our state bins assigned to each Roadmap state

                1_TssA  2_TssAFl  3_TxFlnk      4_Tx    5_TxWk    6_EnhG     7_Enh  8_ZNF/Rp     9_Het  10_TssBi  11_BivFl  12_EnhBi  13_ReprP  14_ReprP  15_Quies
  State 1        0.0%      0.0%      0.0%      0.0%     11.0%      0.0%      0.1%      0.0%      1.0%      0.0%      0.0%      0.0%      0.0%      7.2%     80.6%
  State 2        1.0%     26.4%      3.5%      0.2%      2.2%      9.9%     53.0%      1.4%      0.2%      0.1%      0.4%      0.6%      0.0%      0.3%      0.9%
  State 3        0.0%      0.0%      0.0%     35.3%     54.4%      0.0%      0.0%      0.5%      0.4%      0.0%      0.0%      0.0%      0.0%      0.1%      9.2%
  State 4        0.8%      0.7%      0.6%     22.7%     43.5%     10.7%     12.5%      3.5%      1.5%      0.0%      0.0%      0.0%      0.0%      0.0%      3.4%
  State 5        0.3%      0.7%      0.1%      0.9%      8.0%      0.1%      1.1%      0.3%      2.9%      0.0%      0.0%      0.0%      0.0%      2.4%     83.2%
  State 6       43.9%     29.4%      8.2%      0.4%      4.3%      2.1%      6.4%      1.4%      0.3%      0.4%      0.6%      0.3%      0.3%      0.8%      1.4%
  State 7        0.5%      0.7%      0.0%      0.0%     25.1%      0.1%     16.6%      0.5%      3.4%      0.2%      0.2%      1.2%      1.7%     11.5%     38.3%
  State 8        0.0%      0.0%      0.0%      0.0%      1.4%      0.0%      0.0%      0.0%      2.4%      0.0%      0.0%      0.0%      1.4%     35.8%     58.9%
  State 9        0.0%      0.0%      0.0%      2.2%      6.9%      0.0%      0.0%     30.2%     51.6%      0.0%      0.0%      0.0%      0.0%      0.0%      9.0%
  State10        0.0%      0.0%      0.0%      0.0%      0.6%      0.0%      0.0%      0.2%     12.5%      0.0%      0.0%      0.0%      0.0%      0.1%     86.6%
