Aggregate confusion matrix: poisson vs Roadmap E116 (chr17, chr19, chr21, chr22)
Values = % of our state bins assigned to each Roadmap state

                1_TssA  2_TssAFl  3_TxFlnk      4_Tx    5_TxWk    6_EnhG     7_Enh  8_ZNF/Rp     9_Het  10_TssBi  11_BivFl  12_EnhBi  13_ReprP  14_ReprP  15_Quies
  State 1        0.0%      0.0%      0.0%      0.1%      5.9%      0.0%      0.1%      0.1%      6.5%      0.0%      0.0%      0.0%      0.0%      3.1%     84.2%
  State 2       22.6%     33.5%      8.7%      1.2%      7.0%      5.5%     13.5%      2.0%      0.4%      0.6%      1.0%      0.6%      0.4%      1.0%      1.9%
  State 3        0.0%      0.0%      0.0%     35.6%     53.4%      0.2%      0.2%      0.7%      0.4%      0.0%      0.0%      0.0%      0.0%      0.2%      9.3%
  State 4       46.5%     38.9%      9.9%      0.0%      0.8%      0.3%      1.4%      0.9%      0.0%      0.4%      0.3%      0.1%      0.1%      0.2%      0.2%
  State 5        0.3%      0.6%      0.1%      0.8%      8.2%      0.1%      1.0%      0.3%      2.8%      0.0%      0.0%      0.0%      0.0%      2.5%     83.2%
  State 6       77.9%     15.5%      5.8%      0.0%      0.1%      0.0%      0.0%      0.3%      0.0%      0.1%      0.3%      0.0%      0.0%      0.0%      0.0%
  State 7        1.2%      2.1%      0.4%      6.5%     28.9%      6.4%     28.0%      2.0%      2.2%      0.1%      0.2%      1.0%      0.5%      4.3%     16.2%
  State 8        0.0%      0.0%      0.0%      0.0%      3.0%      0.0%      0.1%      0.0%      1.8%      0.0%      0.0%      0.0%      1.7%     35.9%     57.4%
  State 9        0.0%      0.0%      0.0%      0.7%      4.6%      0.0%      0.0%     16.7%     43.2%      0.0%      0.0%      0.0%      0.0%      0.3%     34.3%
  State10        0.2%     31.3%      4.2%      0.1%      0.8%     10.9%     49.9%      1.3%      0.1%      0.0%      0.4%      0.4%      0.0%      0.1%      0.3%
